schema	task	attempt	queued	landed	outcome	tier	model	milestone	pr	cost_usd	turns	questions	question_wait_h	redirects	redirects_wrong	reworks	findings	findings_fixed	verdict_ref	probe	env	provenance	note
1	0047-tenant-permission-allowlist	1	2026-09-04	2026-09-04	merged	-	claude-opus-5	-	85	11.84	89	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0048-activation	1	2026-09-04	2026-09-04	merged	-	claude-opus-5	-	87	20.40	123	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0049-research-library	1	2026-09-03	2026-09-03	merged	-	-	-	77	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0050-scrub-operator-paths	1	2026-09-03	2026-09-04	merged	-	-	-	84	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0051-dispatch-waiter-leaves-the-cgroup	1	2026-09-04	2026-09-04	merged	-	claude-opus-5	-	86	12.68	87	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0052-handle-review-findings	1	2026-09-03	2026-09-04	merged	-	-	-	84	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0053-diffs-are-generated-not-composed	1	2026-09-04	2026-09-05	merged	-	claude-opus-5	-	90	17.95	107	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0054-a-proposal-is-checked-before-it-is-offered	1	2026-09-05	2026-09-05	merged	-	claude-opus-5	-	91	15.42	115	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0055-a-malformed-patch-is-not-a-stale-one	1	2026-09-05	2026-09-05	merged	-	claude-sonnet-5	-	93	4.57	73	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0056-an-environment-fault-is-not-a-malformed-patch	1	2026-09-05	2026-09-05	merged	-	claude-opus-5	-	94	5.72	62	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0057-the-privileged-switch-cannot-read-the-repository	1	2026-09-05	2026-09-05	merged	deep	-	-	96	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0058-the-sandbox-allows-the-read-the-contract-names	1	2026-09-05	2026-09-05	merged	deep	claude-opus-5	none-hygiene	100	3.23	48	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0059-confirming-a-switch-suggests-what-to-check	1	2026-09-05	2026-09-05	merged	deep	claude-opus-5	none-hygiene	101	8.55	73	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0060-a-foot-setting-sweep-tool	1	2026-09-05	2026-09-05	merged	standard	-	-	102	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0061-a-current-state-layer-and-the-milestone-document	1	2026-09-06	2026-09-07	merged	deep	-	m2-done	105	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0062-the-operator-handover	1	2026-09-06	2026-09-09	merged	deep	claude-opus-5	m2-done	112	15.99	92	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0063-oomd-watches-user-slices	1	2026-09-06	2026-09-06	merged	deep	-	-	103	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0064-the-abort-test-reads-a-coin-as-a-clock	1	2026-09-06	2026-09-07	merged	deep	-	none-hygiene	105	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0065-the-clarifying-questions-intake	1	2026-09-06	2026-09-09	merged	deep	claude-opus-5	m2-done	113	17.30	101	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0066-the-rollback-reexecs-before-it-rolls-back	1	2026-09-06	2026-09-07	merged	standard	claude-sonnet-5	-	106	1.63	51	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0067-an-approved-switch-is-classified-and-staged	1	2026-09-06	2026-09-07	merged	deep	-	-	107	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0068-the-journal-loses-the-minutes-before-a-hang	1	2026-09-06	2026-09-08	merged	standard	claude-sonnet-5	-	108	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0069-the-delivery-seat	1	2026-09-08	2026-09-09	merged	deep	claude-opus-5	m2-done	114	1.75	22	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0070-the-task-outcome-log	1	2026-09-10	-	-	deep	claude-opus-5	m2-constraints	-	-	-	0	0.0	-	-	-	-	-	-	-	e1	live	the first live row; the 68 rows above it are the backfill this task landed with
1	0071-the-delivery-seats-record-shim	1	2026-09-10	-	-	deep	-	m2-now	-	-	-	0	0.0	-	-	-	-	-	-	-	e1	live	brief only, no code; harness usage ledger not reachable from this worktree
